"","sample.size","estimate","estimator","subset","nuisance","term.A","term.B","term.C","term.D","term.E","term.F"
"1",100,0.938288947187073,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"2",100,1.01642642324192,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"3",100,0.8865322974831,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"4",100,0.731367286643579,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"5",100,0.893131757300227,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"6",100,0.629982766135343,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"7",100,0.741559276705988,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"8",100,0.216456341109409,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"9",100,0.223221410510634,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"10",100,0.647250841108466,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"11",100,0.729180728553453,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"12",100,0.736931735358676,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"13",100,0.798288560256051,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"14",100,0.834916844295895,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"15",100,0.572903944313662,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"16",100,0.56475970231144,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"17",100,0.707243904246255,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"18",100,0.641982756142489,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"19",100,0.700537010815635,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"20",100,0.67182771421058,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"21",100,0.687460081883564,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"22",100,0.276669717455366,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"23",100,0.192126199332652,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"24",100,0.680787050130417,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"25",100,0.6277438650773,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"26",100,1.0063970742961,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
