"","sample.size","estimate","estimator","subset","nuisance","term.A","term.B","term.C","term.D","term.E","term.F"
"1",100,1.59484122225517,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"2",100,1.56409796215747,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"3",100,1.51633222644182,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"4",100,1.52130799580679,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"5",100,1.52300324204821,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"6",100,1.51191181795752,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"7",100,1.52966305415131,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"8",100,0.691716891872508,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"9",100,0.600549141799404,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"10",100,0.851571843899423,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"11",100,0.763628288029364,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"12",100,0.807293628397085,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"13",100,0.735694195687514,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"14",100,0.757651239693374,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"15",100,1.42603470560364,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"16",100,1.59996497679645,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"17",100,1.1485974031872,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"18",100,1.23220884632928,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"19",100,1.12917892753479,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"20",100,1.26945674978388,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"21",100,1.26057229103818,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"22",100,0.902108539636929,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"23",100,0.737502114664304,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"24",100,0.900327112581297,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"25",100,0.72705445224881,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"26",100,0.895010507992483,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"27",100,0.726752711855734,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"28",100,0.728914030843227,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"29",100,0.908929285829532,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"30",100,0.947487770558325,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"31",100,0.961219559332046,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"32",100,1.0186738381387,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"33",100,0.975756311276626,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"34",100,1.03364375936745,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"35",100,1.03469278455668,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"36",100,0.973266666943285,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"37",100,0.901372354355958,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"38",100,1.02969242758755,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"39",100,0.971416654325646,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"40",100,1.02811360102639,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"41",100,0.949486583798776,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"42",100,0.968993452996167,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"43",100,0.688389491616201,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"44",100,0.683555707100667,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"45",100,0.666336737972362,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"46",100,0.663051963050828,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"47",100,0.664129079673333,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"48",100,0.658630649508351,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"49",100,0.661016044593779,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"50",100,0.655375038157818,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"51",100,0.66809549754335,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"52",100,0.755201317705207,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"53",100,0.787583044696216,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"54",100,0.793194897497643,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"55",100,0.800799338266203,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"56",100,0.824712282514801,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"57",100,0.864762527073887,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"58",100,0.891175507633487,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"59",100,0.882197938418615,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"60",100,0.906603543107226,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"61",100,0.882533534893159,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"62",100,0.905374512170474,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"63",100,0.90611245997864,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"64",100,0.577684200369786,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"65",100,0.76170672269441,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"66",100,0.63753055128259,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"67",100,0.890647943554755,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"68",100,0.631594904215799,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"69",100,0.897590248709476,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"70",100,0.886159529565944,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"71",300,1.05468035471192,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"72",300,1.04910002873784,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"73",300,1.03262810722649,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"74",300,1.04855007953364,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"75",300,1.03425147616491,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"76",300,1.03566497689759,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"77",300,1.04948142888027,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"78",300,1.06070113137167,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"79",300,1.04718696735974,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"80",300,1.05793206308868,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"81",300,1.00632820622056,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"82",300,1.05796756179343,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"83",300,1.01162446498245,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"84",300,1.00738451895547,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"85",300,1.01359119615835,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"86",300,0.892471375842156,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"87",300,1.01814332738268,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"88",300,0.884975671603603,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"89",300,1.01691897730573,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"90",300,0.888974074537463,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"91",300,0.884242706839904,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"92",300,1.03389208775449,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"93",300,1.04663738465018,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"94",300,0.970845562715151,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"95",300,0.978584192413639,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"96",300,0.970743521780458,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"97",300,0.975819937631545,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"98",300,0.97845252670045,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"99",300,1.07151420807895,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"100",300,0.987614817272275,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"101",300,1.03854521355338,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"102",300,0.959692332154629,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"103",300,1.04208870278223,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"104",300,0.9610979529949,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"105",300,0.959841833746141,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"106",300,1.00462684130491,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"107",300,1.04793919176866,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"108",300,1.01600796491007,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"109",300,1.05716659933015,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"110",300,1.0181537380981,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"111",300,1.05978083156216,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"112",300,1.06038138211419,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"113",300,0.966433210748039,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"114",300,0.931373165454041,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"115",300,0.997926200315598,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"116",300,0.961921491030403,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"117",300,1.00110024176131,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"118",300,0.970621221960241,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"119",300,0.967469278631881,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"120",300,0.956591664547267,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"121",300,1.06575302486831,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"122",300,0.964473855828116,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"123",300,1.06501685735949,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"124",300,0.96469783973893,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"125",300,1.05891911609016,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"126",300,1.06212624999575,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"127",300,1.03376439086787,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"128",300,1.05419272925109,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"129",300,1.02820838558035,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"130",300,1.03694824674303,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
