"","sample.size","estimate","estimator","subset","nuisance","term.A","term.B","term.C","term.D","term.E","term.F"
"1",100,0.849778066610786,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"2",100,0.87899466809084,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"3",100,1.02283563561291,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"4",100,1.02065018880801,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"5",100,1.08523386915477,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"6",100,1.10569059051155,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"7",100,1.09369721741467,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"8",100,0.268549167337301,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"9",100,0.831662025092684,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"10",100,0.734586250011667,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"11",100,0.781556756299453,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"12",100,0.700708536195385,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"13",100,0.886244391319741,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"14",100,0.733283973105816,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"15",100,1.11033378056817,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"16",100,1.13983739486884,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"17",100,1.08938755852297,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"18",100,1.09590596509651,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"19",100,1.0484269286211,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"20",100,1.06615295486637,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"21",100,1.06324365492994,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"22",100,0.756755736161362,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"23",100,0.908685531171686,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"24",100,1.06320996243753,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"25",100,1.06300994374637,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"26",100,1.05223549818462,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"27",100,1.07153131295059,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
