"","sample.size","estimate","estimator","subset","nuisance","term.A","term.B","term.C","term.D","term.E","term.F"
"1",100,0.311588039138258,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"2",100,0.414479124302929,"aipw","extended","forest",-0.0563804512124138,-0.00419138732496257,0.239015680795917,-0.0106362200503373,0.000820429207443095,-0.0107928469153652
"3",100,0.42616836878786,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"4",100,0.407920608128311,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"5",100,0.119239619159626,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"6",100,0.405968067734871,"aipw.w","extended","forest",-0.0768054222289762,-0.00463397547514221,0.21189595758429,-0.00921654854620292,0.000962039677062016,-0.0108885021036635
"7",100,0.334844137106683,"aipw","smart","forest",-0.0549779437938117,-0.00677655199156576,0.153854476957938,-0.00906054923790383,-0.00141908411651428,0.00253622594796441
"8",100,0.423504938901642,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"9",100,0.319768319338482,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"10",100,0.114414941169066,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"11",100,0.338313424586377,"aipw.w","smart","forest",-0.0601823552041002,-0.00727974372643998,0.152108874981929,-0.0110865158251106,-0.00153517231885021,0.00114001734338181
"12",100,0.240694056605928,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"13",100,0.292605188065956,"aipw","minimal","forest",0.154701293199681,-0.0069223963954445,0.275273314045407,-0.0574353529703534,-0.000885746456273658,-0.000204620175551419
"14",100,0.325164618633939,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"15",100,0.312408543366053,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"16",100,0.114802434425428,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"17",100,0.27826224485035,"aipw.w","minimal","forest",0.153022844842645,-0.00635098446864055,0.256753043801131,-0.0598968603234322,-0.00135561898883847,-0.000268788251235157
"18",100,0.337829079021403,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"19",100,0.350840892793872,"aipw","extended","forest",-0.211443163794881,0.00217059951266697,0.0790564884189345,0.0963729279523304,-0.00549479196659839,0.0607570748728049
"20",100,0.468581199643521,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"21",100,0.294191728284287,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"22",100,0.095957093659582,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"23",100,0.3490739238827,"aipw.w","extended","forest",-0.205037007877215,0.00267179428916432,0.0830950052241598,0.0972977612824945,-0.00547039103990356,0.0617569827010459
"24",100,0.114404258175839,"aipw","smart","forest",-0.21202624411359,0.00490761763891047,-0.117328535884841,0.0967650938534202,-0.00433053786007369,0.0166132779081607
"25",100,0.437781764409538,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"26",100,0.0700350943318486,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"27",100,0.0998583658923502,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"28",100,0.128458239611348,"aipw.w","smart","forest",-0.212453447907529,0.00553768327700957,-0.104516795342711,0.0965139930020189,-0.00484496860338143,0.017061579261406
"29",100,0.0500564898490926,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"30",100,0.0162789931012992,"aipw","minimal","forest",-0.170408213637357,0.00678386729861227,-0.065856426952406,0.221656259213456,-0.00454101658456054,0.0318593288022396
"31",100,0.1796942998454,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"32",100,0.0710328445599702,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"33",100,0.101524136827565,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"34",100,0.00511790622664492,"aipw.w","minimal","forest",-0.16834086589033,0.00644138383982265,-0.0712838045847341,0.221195387007991,-0.00447432628253566,0.02800788825824
"35",100,0.398213566426397,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"36",100,0.288368366687477,"aipw","extended","forest",-0.0511435915973087,-0.0143279726502027,0.19238932146774,0.0659411430861298,0.00415551815189427,-0.00201373353716225
"37",100,0.395149872248347,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"38",100,0.444028684792307,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
