"","sample.size","estimate","estimator","subset","nuisance","term.A","term.B","term.C","term.D","term.E","term.F"
"1",100,0.224774944142147,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"2",100,0.162955788508236,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"3",100,0.0988413137717192,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"4",100,0.00363430686398786,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"5",100,0.133795331354743,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"6",100,0.0255953888947567,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"7",100,0.0430472527992065,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"8",100,-0.184789107092731,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"9",100,-0.111272261009625,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"10",100,-0.329308124125111,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"11",100,-0.257880261431363,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"12",100,-0.283092083952093,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"13",100,-0.20789762833365,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"14",100,-0.213906289403241,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"15",100,0.134604813704488,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"16",100,0.130773179185301,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"17",100,0.0723710445229756,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"18",100,0.0166698974054691,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"19",100,0.0984941838284182,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"20",100,0.0580437007230541,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"21",100,0.0595290346228783,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"22",100,-0.176525828815063,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"23",100,-0.129737953872655,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"24",100,-0.31766972461221,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"25",100,-0.307688738170339,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"26",100,-0.339587408559688,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
