"","sample.size","estimate","estimator","subset","simulation","independence","nuisance"
"1","500",1664.14258955709,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"2","500",3.07452667912713,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"3","500",-30.7957063762339,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"4","500",-2.09830846695681,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"5","500",-1.38116284316787,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"6","500",-1.08601414502885,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"7","500",42.4755159664223,"ipw","smart","linear.constant.cate",TRUE,"linear"
"8","500",3.07452667912713,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"9","500",4.00148676110305,"aipw","smart","linear.constant.cate",TRUE,"linear"
"10","500",-2.89975748623057,"ipw","smart","linear.constant.cate",TRUE,"forest"
"11","500",-1.38171987448984,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"12","500",-0.594586499866057,"aipw","smart","linear.constant.cate",TRUE,"forest"
"13","500",42.4755159664223,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"14","500",3.57694544540495,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"15","500",5.42864442653024,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"16","500",-2.86146096193061,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"17","500",-0.711966976729805,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"18","500",-0.15101985645637,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"19","500",63993.9621664942,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"20","500",4.70848260483352,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"21","500",-344.172197930032,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"22","500",1.22594768166579,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"23","500",-0.581622285882695,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"24","500",-0.33358349487282,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"25","500",-0.129357072601904,"ipw","smart","linear.constant.cate",TRUE,"linear"
"26","500",4.70848260483352,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"27","500",4.96235171688332,"aipw","smart","linear.constant.cate",TRUE,"linear"
"28","500",2.80269970119058,"ipw","smart","linear.constant.cate",TRUE,"forest"
"29","500",-0.591628890364643,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"30","500",0.791858958979131,"aipw","smart","linear.constant.cate",TRUE,"forest"
"31","500",-0.129357072601904,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"32","500",3.54830760241522,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"33","500",3.97518448985655,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"34","500",1.20129746569197,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"35","500",0.210920539586123,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"36","500",1.10052754559028,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"37","500",401.77554988295,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"38","500",2.38508220508928,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"39","500",10.9115897138393,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"40","500",-3.89981238809151,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"41","500",-1.56780507978756,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"42","500",-1.39863026311828,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"43","500",5.15817021992634,"ipw","smart","linear.constant.cate",TRUE,"linear"
"44","500",2.38508220508928,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"45","500",2.4064393801528,"aipw","smart","linear.constant.cate",TRUE,"linear"
"46","500",-3.74020940635372,"ipw","smart","linear.constant.cate",TRUE,"forest"
"47","500",-1.54084324626225,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"48","500",-1.13776325288257,"aipw","smart","linear.constant.cate",TRUE,"forest"
"49","500",5.15817021992634,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"50","500",1.06973496971514,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"51","500",1.29199006332291,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"52","500",-3.02832982867222,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"53","500",-1.06353308853402,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"54","500",-0.630967829634555,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"55","500",217.172290480603,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"56","500",2.02325267668054,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"57","500",2.71284342831314,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"58","500",-6.32725546081725,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"59","500",-2.6528829672347,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"60","500",-1.88125608022275,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"61","500",1.02588312313843,"ipw","smart","linear.constant.cate",TRUE,"linear"
"62","500",2.02325267668054,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"63","500",2.19124152826255,"aipw","smart","linear.constant.cate",TRUE,"linear"
"64","500",-5.51616869424061,"ipw","smart","linear.constant.cate",TRUE,"forest"
"65","500",-2.76500182930172,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"66","500",-1.39441956407924,"aipw","smart","linear.constant.cate",TRUE,"forest"
"67","500",1.02588312313843,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"68","500",1.69316197703262,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"69","500",1.77929403333627,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"70","500",-5.17585030500609,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"71","500",-1.9158386559072,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"72","500",-0.86583927878715,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"73","500",214.209615195839,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"74","500",2.50029870551728,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"75","500",8.81096103758532,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"76","500",-2.56647411310941,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"77","500",-1.75490420186213,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"78","500",-1.07698753837453,"aipw","outcome","linear.constant.cate",TRUE,"forest"
